,model_name,case,preprocessing,accuracy,adjusted_balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time
285,LogReg_f1,ternary,20,0.47310990441047684,0.22318586525773002,0.48251251850622123,0.47574085943830513,0.666783593218648,26.536875200271606,0.0003994941711425781
287,LogReg_f1,ternary,10+20+30+LDA,0.5129233994941915,0.24963252402312977,0.5149825447084453,0.48528159959658435,0.6937320106266757,94.23431506156922,0.0005901813507080078
313,LogReg_f1,ternary,10,0.46576151746605066,0.21634486570139524,0.47576909746756596,0.4715951552604906,0.6610614236845367,26.249859285354614,0.0005940437316894531
328,LogReg_auroc,ternary,20,0.5069878788780816,0.1733846684375468,0.4868142407525591,0.38162612365288096,0.6660769022461795,28.28921284675598,0.0004730224609375
329,LogReg_auroc,ternary,30,0.5076536425335609,0.17046855637744104,0.4853468334646044,0.37095187701291427,0.6680968538163998,26.949990701675414,0.0005933284759521484
330,LogReg_auroc,ternary,10+20,0.5082347224892858,0.17846419126286234,0.49066503253079113,0.3919099380800105,0.6662294165481716,68.41115860939026,0.000800323486328125
332,LogReg_auroc,ternary,20+30,0.5091935533772588,0.1736005899104147,0.48908858715349235,0.38101534530413106,0.6664564453447686,85.82252588272095,0.0003926277160644531
336,LogReg_auroc,ternary,10+30,0.5114159088430721,0.18183920659907044,0.49401283230667153,0.3941454582073113,0.6684751420160158,63.0537052154541,0.0004005908966064453
337,LogReg_auroc,ternary,LOF-PCA,0.5120498057458059,0.1818440322769544,0.4941357105666674,0.39348230292292047,0.6695475777981674,101.9614863872528,0.0034801483154296873
338,LogReg_auroc,ternary,10+20+30,0.5121308022856808,0.1833510207698402,0.4949557615859167,0.39610789331005875,0.6690408270529291,110.83865866661071,0.0001941204071044922
341,LogReg_auroc,ternary,10,0.5048871020715886,0.1753981676103565,0.48769799164750316,0.39307201535587677,0.6604666925872351,27.390886878967287,0.0006121158599853516
365,LogReg_auroc,ternary,10+LDA,0.5147729772753828,0.23333693262394944,0.5098420618801278,0.461434685791043,0.6866342911736278,24.858459568023683,0.00020008087158203126
366,LogReg_auroc,ternary,30+LDA,0.5181768380278547,0.23287231834155317,0.5101996481661967,0.4509434505928661,0.6920302031939407,23.717144823074342,0.0003995418548583984
388,LogReg_auroc,ternary,10+20+LDA,0.519276667057242,0.23630283635198382,0.5140402065998914,0.46244004883127887,0.6911283198219939,59.01988830566406,0.0006007194519042969
389,LogReg_auroc,ternary,20+30+LDA,0.5198204986862851,0.23226859110488202,0.5130632299214103,0.45592770642936664,0.6907646211792194,74.71680779457093,0.0002056121826171875
390,LogReg_auroc,ternary,10+30+LDA,0.522220710977354,0.23821026673818207,0.517024702797869,0.4638140274989991,0.6929451418079628,56.07086763381958,0.00039424896240234373
391,LogReg_auroc,ternary,LDA+LOF-PCA,0.5222469303937977,0.24032075437868725,0.5173352967934829,0.46598005228924855,0.6935874297587127,101.34332013130188,0.0011110305786132812
392,LogReg_auroc,ternary,10+20+30+LDA,0.5227429261926024,0.23932749114095672,0.5177628770471732,0.4654020654958398,0.6934742619115751,94.88741097450256,0.0007937908172607422
